"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
**BONO ZE: Se otorga a los profesionales que adjudican una plaza en los Establecimientos de Salud ubicados en el Valle de los Ríos Apurímac, Ene y Mantaro (VRAEM), en tanto se mantenga dicha calidad de acuerdo a la normatividad vigente; así como a los puestos ubicados en las zonas declaradas en emergencia por circunstancias similares a las del VRAEM, conforme la vigencia de las normas que así los declaren.";;;;;;;;;;;;;;;
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;PALLASCA;CONCHUCOS;GD-5;00001689;PUESTO DE SALUD MAYAS;I-1;REGIONAL;SI;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;PALLASCA;PAMPAS;GD-5;00001698;PUESTO DE SALUD UCHUPAMPA;I-1;REGIONAL;SI;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;HUAYLLAN;GD-5;00001772;PUESTO DE SALUD HUAYLLAN;I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;POMABAMBA;GD-5;00001771;PUESTO DE SALUD CHOGO;I-1;REGIONAL;SI;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;POMABAMBA;POMABAMBA;GD-5;00001767;"PUESTO DE SALUD
CHUYAS";I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;QUINUABAMBA;GD-5;00001781;PUESTO DE SALUD QUINUABAMBA;I-2;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;RECUAY;TAPACOCHA;GD-3;00001478;PUESTO DE SALUD TAPACOCHA;I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SIHUAS;CHINGALPO;GD-5;00001800;PUESTO DE SALUD CHINGALPO;I-1;REGIONAL;SI;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SIHUAS;RAGASH;GD-5;00001796;"PUESTO DE SALUD
RAGASH";I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SIHUAS;SIHUAS;GD-4;00009731;PUESTO DE SALUD SAURAPA;I-1;REGIONAL;SI;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;ANTONIO RAIMONDI;ACZO;GD-5;00001839;PUESTO DE SALUD UCHUPATA;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"ANTONIO
RAIMONDI";MIRGAS;GD-5;00001852;"PUESTO DE SALUD
MIRGAS";I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;BOLOGNESI;CAJACAY;GD-2;00001484;CENTRO DE SALUD CAJACAY;I-3;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CARHUAZ;ATAQUERO;GD-4;00001522;PUESTO DE SALUD ATAQUERO;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CARHUAZ;CARHUAZ;GD-3;00007267;PUESTO DE SALUD HUALCAN;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;CARHUAZ;GD-4;00001517;"PUESTO DE SALUD
MAYA";I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CARHUAZ;SAN MIGUEL DE ACO;GD-5;00001539;PUESTO DE SALUD SAN MIGUEL DE ACO;I-1;REGIONAL;NO;NO
"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
**BONO ZE: Se otorga a los profesionales que adjudican una plaza en los Establecimientos de Salud ubicados en el Valle de los Ríos Apurímac, Ene y Mantaro (VRAEM), en tanto se mantenga dicha calidad de acuerdo a la normatividad vigente; así como a los puestos ubicados en las zonas declaradas en emergencia por circunstancias similares a las del VRAEM, conforme la vigencia de las normas que así los declaren.";;;;;;;;;;;;;;;
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;GD-5;00001865;PUESTO DE SALUD LLAMACA;I-1;REGIONAL;SI;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;BUENA VISTA ALTA;GD-3;00001724;PUESTO DE SALUD HUANCHUY;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARAZ;HUARAZ;GD-2;00001546;PUESTO DE SALUD SAN NICOLAS;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARAZ;LA LIBERTAD;GD-4;00001583;PUESTO DE SALUD CAJAMARQUILLA;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARAZ;PAMPAS GRANDE;GD-4;00001584;PUESTO DE SALUD PAMPAS GRANDE;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARI;CHAVIN DE HUANTAR;GD-5;00001826;PUESTO DE SALUD CHICHUCANCHA;I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARI;RAPAYAN;GD-4;00001845;PUESTO DE SALUD RAPAYAN;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARI;SAN PEDRO DE CHANA;GD-5;00001837;PUESTO DE SALUD SAN PEDRO DE CHANA;I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-3;00001751;"PUESTO DE SALUD
HUAMBA";I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUAYLAS;CARAZ;GD-4;00001589;PUESTO DE SALUD LLACSHU;I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUAYLAS;YURACMARCA;GD-5;00001601;PUESTO DE SALUD QUITARACZA;I-1;REGIONAL;SI;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"MARISCAL
LUZURIAGA";CASCA;GD-5;00001785;"PUESTO DE SALUD
CASCA";I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;MARISCAL LUZURIAGA;FIDEL OLIVAS ESCUDERO;GD-5;00001793;PUESTO DE SALUD SANASHGAN;I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"MARISCAL
LUZURIAGA";LLUMPA;GD-5;00001789;"PUESTO DE SALUD
LLUMPA";I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;MARISCAL LUZURIAGA;LLUMPA;GD-5;00001650;PUESTO DE SALUD YURMA;I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;PALLASCA;CABANA;GD-4;00001684;"CENTRO DE
SALUD CABANA";I-3;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;PALLASCA;CONCHUCOS;GD-5;00001691;PUESTO DE SALUD CHALAN;I-2;REGIONAL;NO;NO
"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
**BONO ZE: Se otorga a los profesionales que adjudican una plaza en los Establecimientos de Salud ubicados en el Valle de los Ríos Apurímac, Ene y Mantaro (VRAEM), en tanto se mantenga dicha calidad de acuerdo a la normatividad vigente; así como a los puestos ubicados en las zonas declaradas en emergencia por circunstancias similares a las del VRAEM, conforme la vigencia de las normas que así los declaren.";;;;;;;;;;;;;;;
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;PALLASCA;CONCHUCOS;GD-5;00001690;PUESTO DE SALUD HUATAULLO;I-2;REGIONAL;SI;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;PALLASCA;TAUCA;GD-5;00001700;"PUESTO DE SALUD
TAUCA";I-2;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;PAROBAMBA;GD-5;00001779;PUESTO DE SALUD CAJAS;I-1;REGIONAL;SI;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;PAROBAMBA;GD-5;00001777;PUESTO DE SALUD HUANCHAYLLO;I-2;REGIONAL;SI;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;POMABAMBA;QUINUABAMBA;GD-5;00001782;YAMIAN;I-1;REGIONAL;SI;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;RECUAY;LLACLLIN;GD-3;00001487;PUESTO DE SALUD LLACLLIN;I-1;REGIONAL;NO;NO
ANCASH;MEDICINA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SIHUAS;CHINGALPO;GD-5;00001800;PUESTO DE SALUD CHINGALPO;I-1;REGIONAL;SI;NO
ANCASH;OBSTETRICIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUAYLAS;SANTA CRUZ;GD-5;00001594;PUESTO DE SALUD SANTA CRUZ;I-1;REGIONAL;NO;NO
ANCASH;OBSTETRICIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;PAROBAMBA;GD-5;00001778;PUESTO DE SALUD SHUMPILLAN;I-1;REGIONAL;SI;NO
